T100,C100,M100,T536,C536,M536,T1072,C1072,M1072
0.5,7.72,5.54,0.5,8,8.38,0.5,29.17,28.92
1.5,12.08,11.71,1,14.74,22.39,1,32.1,86.25
3,6.54,19.52,1.5,21.26,32.41,2.3,43.87,98.66
5,3.11,20.92,3,21.94,48.91,3.5,51.49,120
7,1.68,20.51,5,15.23,48.22,5.5,40.07,120
12,0.32,12.53,6,13.07,78.84,7,33.91,156
24,0.04,6.8,7.5,7.24,69.01,23,4.14,111
28.5,NA,4.47,24,2.68,101,24.5,2.71,100
,,,25.5,4.66,30.45,28,1.53,113
,,,30,0.68,31.48,31.5,1.22,54.39
,,,32.5,5.68,22.61,47,3.55,47.66
,,,48,5.68,11.62,,,